review,rating
"It is perfect as it was shown in the picture. Works well with my Lenovo LOQ 15.6 inches. It is sturdy and doesn't wobble. With the rubber grips, it can hold up to 17 inches laptops or laptops with a weight of 3 kg easily. I'm impressed with this product....I definitely recommend it😁👍✨",Positive
decent and sturdyyyyyyyyyyyyyyyy,Positive
Price anusaar ko thikai chha.,Positive
Great value for money,Positive
it's working well,Positive
I wasn't expecting it to be as effective as it really is. The stand seems durable enough and can firmly hold my heavy laptop. The portability is a cherry on top and it even comes with a small bag. Overall a great product. Value for price 👌,Positive
good product,Positive
nice,Positive
thikai lagho jehos yo price range ma ramro xa😊,Positive
Just the way I envisioned it to be and that makes me really happy.,Positive
typ stand lai jodni chai plastic ko raixa so testo rameo vamdina aru no doubt sab ramro xa just tyo full metal vaye ko vaye ekdam ramro,Neutral
It is fine but i saw some visible rust marks behind the stand one arm is slightly loose but it is working fine,Neutral
best quality,Positive
Well! i got this stand. And in good condition. Packaging is so good. hope it will last long. 😊 But i think it is expensive.,Positive
"it is quite strong product to hold heavyweight laptop too.. seems durable as it is made of aluminium. the product was well packed when received,but could be better if a case bag to carry the stand along while carrying along laptop.",Positive
Ekdam ramro stand Dherai strong raixa mero 16 inch ko laptoplai muzzle vyo.bokera hidnu pni sajilo raixa.Seller dherai helpful ani responsible hunuhunxa.recommend to all buyers.,Positive
it's very strong and good quality material stand.i am really happy.mero 16 inch ko laptop ko lagi muzzle fit vyo.yo price ma yeti ramro product provide garnu vayeko ma Thank you Daraz.fully satisfied😃😃,Positive
price ko hisab lea ramro ho Lida hunxa malai xai dami nai lago loved it 🥰,Positive
nice product although a little bit tilting problem,Neutral
one of the support pin is SHORTER than the other and because of this there is a slight gap between the base and laptop on one side(last pic) while there is no gap on another side.,Negative
Build quality is quite good but lowest configuration ma stable nahudo raxa baki configuration ma ramro xaani rakhne pouch pani ramro xa,Positive
It was so preety good and very usefulI.I got 7 adjustable level.As shown in the picture as expected.THANK YOU DARAZ Seller aswell.I Recommended.,Positive
It's pretty much okayish for the price but at times it slips off.,Positive
"This stand fit okay for my 16 inch Dell laptop, although it felt a bit small. For smaller laptop it fits perfectly. The build of the stand is also good and made of metal, and seems a good value for the price. Delivery was also really quick.",Positive
Works perfectly. 👌,Positive
it's the best on its price segment. it holds my 15.6 inch laptop perfectly and strongly recommend 😄,Positive
"Very very flimsy. The left side of the stand is weaker than the right side. Other than that, it does the job fine. You get what you pay for I guess.",Negative
"Really impressed by the quality, strength and the usefullness of the product. Certainly would recommend anyone who knows its function. So, just go for it, the product is superb👍",Positive
Very useful product for laptop.same as shown the picture.full body aluminium material.I like and Love it.Tq Daraz I recommend.😄😄😄,Positive
"About Product :The product is good. Its made up of aluminium. Ali ali shake vaye pani its not that bad. Sticky grips harule garda table ma stable hunxa. Mero 14"" ko laptop majale rakhna mileko xa. Socheko vanda chai stand ko size ali sanai lagyo but its very useful for what it does.About Seller:Seller ni ekdam ramro ho. Suru ma maile stand order garda aadha samma matra khulne partially defective jasto thiyo rw bag ni ako thena but after talking with seller for few times he exchanged it. I will buy from him again.",Positive
"The product is identical to what is shown in the description. It is indeed a high quality product, the packaging was also good.I will definitely recommend it.",Positive
Wow really Amazing product.Whole body aluminum and looks preety Thank you DARAZ Seller aswell🤗🤗🤗,Positive
loved he product.Daro pani raixa,Positive
It's a good one for this price range.,Positive
Nice product. It is sturdy.,Positive
very good product.                                          #review_wrapup,Positive
Eakdam ramro stand raixa. Quality ni babbal raixaI highly recommend to buy this product,Positive
Another satisfied customer 🙌,Positive
"Packaging was very good and delivery was on time. Product is solid and sturdy. Could have been a little bit more expandable for larger laptops. But, overall it's a good product in my opinion.",Positive
Ramrai chha,Neutral
"The packaging was great, but not convinced with the product itself, which is slightly lose on the left side. Don’t feel safe enough. Would really appreciate an exchange if possible.",Neutral
its Really Amazing Stand Built With Full Aluminum.All Daraz Customers Who Want This Product Plz Without Any Doubt Buy it.This Product 7 level Adjustment level And Looking So Preety.I Am Really Happy With This Product.SELLER Was Very Helpful And Responsible.Thank you DARAZ And Good Seller.I Recommend To All Of You.,Positive
The stand is functional at best. Definitely not worth 1000 rs. The finishing is very bad and there are a lot of scratches out of the box. The connections are not rigid and doesn't feel robust.,Negative
10/10. I was skeptic but this product is very good. Gives proper support. It works good for my 14in laptop too.,Positive
Ramro xa hai laptop stand Tara stand ko aauta khutta sani aauta thulo xa tara tesle teti farak pardaina.,Positive
Definitely not worth your money! It came with multiple scratches and seems to be used! The whole stand is bent to one side and will not still stable when the laptop is placed. very weak and bad build quality.,Negative
"Bought it previously from the same seller, this time it was slightly different and of a lower quality.",Positive
Looks decent till but i used to think ki laptop ko size jattrai hunx but hudo rainx anyway laptop chahi addiyo,Positive
"As i bought it on flash sale i was not so sure about the quality. But now as i got to use the product, it is AMAZING. Strong, Steady and looks great too.It worked for my 14"" laptop. Not sure about the price range tho.",Positive
Laptop stand is pretty good. It is also good for heavy  laptop. Anyone can buy this stand for your laptop.,Positive
"the stand does not stand firmly on the floor. one side of the locker is okay to go but the next side locker doesn't stay in place.  i still need support to make it firmly stay in the floor and locker to get locked correctly. is there any exchange available? if yes, how can I?",Negative
Good for this price range but the lower grip is not so good because it's not gripping properly on the table.,Positive
holds my 16 inch laptop well. it's kinda wobbly but it's not really a problem considering it's price. I would rate it 4.5/5,Positive
Very sturdy and good grips. Also loving the pouch it comes in.,Positive
I had been using 1 weeks... It is of outstanding quality and hold my Asus a15 laptop properly.,Positive
"Works.A bit flimsy in build quality but as long as it holds the laptop, fine with me.",Positive
Nice stand works really well for my legion 2024 model as well which us 16” and 2.5 kg.,Positive
Works just fine. The build is okayish. The grip rubber at the ends gets off easily.,Positive
Satisfied with the product. Intact and strong.,Positive
I have ordered 7 mode foldable but i got 6 mode only so not believable store,Positive
It's small comparing to the images posted by the reviewer. Check my images.,Neutral
The product quality is quite good and satisfying.👍,Positive
The laptop stand is of good quality. I am totally satisfied with this stand.,Positive
Great Product works as shown but bag ko quality naramro theo natrw everything else is great... just airflow rw height ko lai great option..,Positive
just looking like a wow 🤯,Positive
"its been more than 6 months , works perfectly well and definitely improved my laptop thermals too",Positive
Great product with lots of adjustments available. Product is worth buying.,Positive
"Title says 7 level adjustment, got 6level even though there is written 7 level in box. very poor service from the seller and size is not recommended for above 15 inch laptop. Very disappointed.",Negative
Had to take out the excess aluminum by myself but a very nice product for the price! Would recommend other brands if you need a more premium finish though but can't complain for this price!,Positive
7 level vaneko thiyo buy Garda but 6 level matra cha but does the job done for me. yetiko price ma thikai ho.,Positive
"the stand part is not attached, there is no pin holding that part, i would like to return this and hope i'll get a proper one",Negative
the items is not as mentioned in photo. there is no one stand . i want to return this and get a new one,Negative
I received it in good condition and i uses for few minutes and it was good,Positive
highly satisfied with the product,Positive
product Sahi Lago malai laptop chiplela ki vanne lageko thiyo but chiplidaina rahexa hallauda Pani,Positive
500 ma best nai product ho hai best nai xa study ko lagi best nai huncha,Positive
dai haru lai ali garo vayo  . bato apthyaro vayera tara chitai deliever vayo .. ramro xa thankyou,Positive
Very good and good value for money,Positive
Delivery : 9/10 Quality : 9/ 10Packaging : 9/10 Price : 9/10,Positive
quality is so good more stable stand so you can buy without hesitation,Positive
"didn't lived up to my expectations though, too slippery in glass table.",Positive
It was nice product it is more easy and comfortable to use😊,Positive
Wow recieved a good and quality product at a reasonable price thank you DaraZ ……❤️❤️❤️🔥🔥🔥,Positive
very good product,Positive
This is very nice product . It is suitable for 15 inch laptop also.,Positive
Value for moneyQuality was goodPackaging was also good,Positive
"little flimsy for my 17inch laptop. But for the price, its okay.",Positive
It easily supports heavy gaming laptop like acer nitro.,Positive
"Does what it's supposed to do, would recommend it.",Positive
"Sturdy, easy to carry and affordable just what students need.",Positive
Really sturdy amazing product. Highly recommended,Positive
great product. Loved it. its been a year using this now.,Positive
item is good for this price my laptop is comfortable now,Positive
works great on 17 inch laptop. Been using for a month and it's working fine,Positive
sturdy . exactly what it says . like it for the price.,Positive
Worth it at this price..its sturdy and of good quality,Positive
i mean its aluminium works as advertised pretty sturdy,Positive
I was supposed to get PAN Bill for 2 product but got the bill for only one .. Kindly Provide the authentic Bill..Product is Good !!,Neutral
"Good quality product, nice packaging, timely delivery",Positive
The product is really good.Thankyou❤️,Positive
pretty good for the price but one of the stand wasn't fitting properly,Positive
Really helpful. As good as expected,Positive
Can hold 15 inch laptop easily. Looks like it can last long. Thanks,Positive
been a month since using it.its a decent product,Positive
"nice , very useful and safe at the office desk..",Positive
Very comfortable to use. Quality is also good.,Positive
Sturdy and holds laptop well..,Positive
Love it... worth the price...,Positive
Perfectly fitting for 16 inch laptop.,Positive
thik xa not that amazing not that bad either,Positive
I got damaged one. Online vanera damaged product pathako hoki,Negative
Excellent! Very useful product for frequent laptop users.,Positive
"Ekdam ramro cha , jasto dekhako testai chai",Positive
product overall thikai xa value for money,Positive
good quality product at affordable price!,Positive
wrong products delivery,Negative
I have received a defective piece with a screw missing.,Negative
it's a good deal with discounted price 👍,Positive
I just luv the product according  to its price its nice,Positive
The product is good. Value for the money,Positive
"gifted my friend, had a good experience",Positive
Nice product .loved it ❤️,Positive
good it seems robust to use for laptop,Positive
it is worth it. exactly like I ordered,Positive
dami lagyo price anushar ko ramro xa,Positive
Nice product and price is reasonable,Positive
it's good. now I will be able to work comfortably,Positive
decent. Could be more better it was wide enough,Positive
"Good product, but little difficult to change step otherwise works well",Positive
little small but value for money,Positive
good enough for old laptops also,Positive
👍🏻,Positive
Exactly as shown.Does the job!,Positive
Nice product. Totally worth it,Positive
its really helpfull.i loved it,Positive
good acording to price range,Positive
screw got displaced within a week time.,Negative
amazing product and delivery guy so humble and appreciates work.,Positive
Good Product. Fast Delivery,Positive
babal cha. totally worth it,Positive
"Received a faulty one, so disappointed",Negative
Liked it. Recommend product,Positive
It is quite a good product.,Positive
it was not not as expected,Positive
love it. super sturdy recommended ❤,Positive
it's actually quite nice,Positive
it's good for this price,Positive
it's pretty good worth it,Positive
"Thekai छ, but small then expected",Positive
"Nice, useful and strong product ❤️",Positive
गज्जब लाग्यो मलाई चाँही । Heavy रैछ अनि फिनिसिंग पनि राम्रो । तत्कालका लागि डेस्कटप मनिटर किन्नु परेन यसर्थ २२ देखि २५ हजार जोगियो । धन्यवाद दराज ।,Positive
"great, am using just rn.",Positive
durable and easy to use.,Positive
not as per expectation..,Positive
satisfied... thank you..,Positive
sano sano ramro nai xa,Positive
Ramro naii xa price anushar ko.,Positive
"it is unbelievable, you get fully paid back !!",Positive
good quality for price,Positive
Could easily use the product.,Positive
seem I got defective piece..,Positive
Very useful product,Positive
looks good go buy it,Positive
quality is good actually,Positive
good quality and sturdy as well 💯 ekdam sajilo ramro cha so kasaile buy gardai hunuhuncha vane dhukka saga yei seller bata kinda huncha hai ans specially thank you seller and daraz team ❤️,Positive
it's a good product.,Positive
good quality 👍👍👍,Positive
Over dami product ho yo,Positive
"Nice, worth it for the price.good quality laptop stand and portable. loved it.",Positive
Build quality is awesome❤️,Positive
good product. nice quality,Positive
good product💕💕💕,Positive
ekdam babal xa hai,Positive
very nice product love it,Positive
works as intended,Positive
i find it helpful,Positive
"study, very good.",Positive
quality seem good,Positive
Love the product,Positive
good qualityyyyy,Positive
Nicely received,Positive
best  stand 😊💐,Positive
Mann paryo 🫰🏽,Positive
cheap and best,Positive
does the work,Positive
Good product,Positive
Good quality,Positive
Nice product,Positive
good quality,Positive
nice product,Positive
its good 👍,Positive
Sturdy ramro,Positive
okay okay xa,Positive
very nice.,Positive
Does the job,Positive
it was good,Positive
loved this product,Positive
It is good,Positive
very nice,Positive
satisfied,Positive
ramro chha,Positive
The Quality of the products was awsome.,Positive
good,Positive
Greattt,Positive
Good,Positive
Great.,Positive
Nice,Positive
ok,Positive
cool,Positive
Good 👍,Positive
Nice One,Positive
lovely♥️,Positive
dami,Positive
useful,Positive
Worth it ❤️,Positive
thikai xa,Positive
It is much better than a plastic one holds laptop really well really happy wth the product,Positive
not bad product ta thikai ho Tara delver chai late idk ridder ko Galti ho ya seller ko,Positive
Good product! Holds my 15 inch laptop just fine.,Positive
best quality in this price range 😄,Positive
,Positive
"For the price, this laptop stand is decent but has some drawbacks. While functional, it’s not the most durable option. The paint tends to chip off easily, and the rubber pads on the feet wore out fairly quickly. I'd recommend setting it up in a fixed spot rather than moving it frequently to prolong its lifespan.",Neutral
"Overall build quality is nice for the price. My only gripe is the slider feet which is inserted in one of the 7 holes is made of plastic. Making it as critical point of failure. As the whole laptop weight stands on it, there is high to medium change of breakage within a year. Rest of the build is aluminum and decently sturdy. A good product nonetheless if you intend to use for a year or two at decentish price.",Neutral
"working fine. But I don't suggest to buy if your laptop is heavier than 1.5KG or bigger in size than 13 inch. it's good for MacBook and similar laptops. you cant move it from one to another position normally, if you do so your stand might get broken or your laptop may get damaged. so if you can fix your laptop in one place and your table is placed in the corner of your room then you can be benefited by this product otherwise don't buy it.",Neutral
It's great so far. I'm interested in finding out how long it's going to last.,Positive
Perfect.,Positive
the product is nice but it is a little bit small for macbook 16 inch,Positive
Worth the price highly recommended ❤️,Positive
It works but it feels extremely cheap. Has a slight wobble. But for the price it ok .,Neutral
Good as of now,Positive
"crack has appeared only after some months and i've barely used it, asked for help from seller and reply was literal cold 'no' and after that left me on seen.",Negative
Ramro lagyo. Tara expensive raixa,Neutral
Ramro xa,Positive
"Good quality aluminum is good, but shot.",Positive
really good product if you are just looking for a strong and rigid stand for your pc. Worth the buy,Positive
Good but it was small as expected,Positive
quantity dherai ramro xa..,Positive
"Looks good, yet to use it.",Positive
sano xanot suitable for bigger laptop especially gaming laptops.ani rust lagako xa steel screw ma.,Negative
"Good Product. Works as advertised. Nothing loose or any issue. Once, the laptop is placed on it, it's sturdy and doesn't wobble. Got it for Rs. 471 total(including Rs. 25 delivery charge to Daraz seller center). For the price of even around Rs. 500, it's a good product.",Positive
Liked it. Hope it will last long,Positive
ramro xa,Positive
Very Durable. Amazing quality.,Positive
thikai ho,Positive
Saman cost anusar ok xatara ekdam ramro chai vanna mildaina,Neutral
very comfortable 👍,Positive
Love it,Positive
satisfied 👍,Positive
Dami xa....,Positive
🖤🥰👌💯,Positive
The build quality is nice. Euta side che ali sturdy Lagena.But definitely worth the price and is good especially for light weight laptops.,Positive
It arrived very quickly and is perfect for what I was looking for. A few scratches but nit noticeable.,Positive
"honestly, didn't think it'd be reliable or amazing  but boy i was wrong, i recommended this piece to few of my friends and cousins, and they loved it as well. it's a fixture on my desk now and has been for months.if you are looking for a laptop stand, yes, you should consider this! (bonus: it's easily portable)",Positive
Simply nice!,Positive
Was smaller then expected but its premium quality.,Positive
the product is nice!!! delivery was also quick and very well packaged,Positive
it's nice i like it,Positive
Best Quality,Positive
Bears 16inch lenovo legion easily. Stable and good quality.,Positive
Thikai xa,Positive
Works great and is sturdy.#review_wrapup,Positive
the left side of the stand was loose,Neutral
Nice product. Reordering Again,Positive
decent.,Neutral
"stable enough and good quality , good product overall.",Positive
Nice but rubber patches goes off and stand becomes slippery,Positive
good at this price,Neutral
I have 2 of em they're sturdy and overall great.,Positive
ramrai chha.,Positive
works well if you don't have a bottom hinged laptop.,Positive
Looks good,Neutral
okish,Neutral
average,Neutral
dami xa,Positive
"Dami cha, fitted very well.",Positive
Comfort to use and portable..,Positive
Great,Positive
good quality and amazing product 😀😀😀😀,Positive
this product is awesome .thank you daraz❤️,Positive
100% recommended. Bought several times :),Positive
good one,Positive
It's good.,Positive
Worth it!,Positive
as expected ❤️👍,Positive
Legs are wobbly but does the job. Nicely packaged. Rubber feet provides nice grip on table so it's not slippery. Overall Nice product.,Positive
"Got the product delivered, the next day. The material looks good, can also be used for heavy gaming laptops. While other things look good, the hinges are kinda loose, not a perfect fit, which reduces the overall usage experience... thus only 3 stars...if you are using an external keyboard for typing the stand seems to be good enough... which I am doing",Neutral
I had requested to either refund or replace the product but haven’t heard from your store yet.. it has been over two weeks now !! You have canceled my fund request and have not responded to my messages.,Positive
Surprisingly heavier that expected but the locks are quite sturdy so till now no issue. The aluminium alloy is heavier that other laptop stand i have used.,Positive
"Gets the job done!It isn't real aluminium by any chance, feels more like a plastic with aluminium looking coat.But hey I am not an industrial scientist.Doesn't feel durable if thrown around but supports my 13"" MacBook pro.It is slightly wobbly at times and even when fully expanded horizontally it's only 5"" long which feels a little short for my 13"" mac.Wouldn't recommend for bigger or sturdier laptops.What can I say, there's room for improvement in the product. The idea is great. The implementation is subpar.I had higher expectations with the product so keep yours low.The rubber grips are fairly good though!",Neutral
"Bought it about 2 weeks ago and have been using it for a while. While most of the reviews here found it good, I didn't. For me, the product felt not well-engineered. The axes of the hinges are not sturdy and the handles kept slipping from their holes whenever I had to do micro-adjustments to the laptop. Don't get me wrong -- the stand handles any weight of the laptop because it's made from metal and can give the keyboard a much needed slope to make it easy to write. But the lack of sturdyness of the stand and the small width of the stand make typing hard because the laptop felt wobbly. If you are going to attach an external keyboard, then this product might be a good buy as you won't be touching a laptop. But, if you are going to be typing on the laptop then you are going to not like it.PS: My laptop is a 15.6 inch laptop and I bought this laptop mainly so that the keyboard will feel inclined and the sharp edges of the laptop wont hurt my hand.",Negative
j hos product thick mero chai paisa usul vayo. socheko bhanda product size chai sano lagyo. aru thick chha. neck problem vairathyo laptop chalayera now neck problem thorai vaye ni relief hune jasto lagyo,Positive
This laptop stand is not very practical. It's not very sturdy and it's not very adjustable. I tried using it for my laptop and it just didn't work well. I ended up just using a stack of books instead.,Negative
"holder, euta ko grip alik loose thiyo compared to the other.. anyway i dont think it will be a problem will using but organise garda chai thorai🤏",Positive
"good product but right side leg is bit uneven and doesn't snugly fit inside the notched groove(pwal). it tends to wobble, but with the load of laptop, the wobbling issue is eliminated.",Positive
"It's good. It fits my 15-inch laptop just fine. It gets a little wobbly sometimes, but other than that, it's good.",Positive
Does the job. But not worth the price. The 600-800rs plastic ones with even fan inbuilt are far better and stable than this product.,Neutral
The product a little flimsy but it worked really well with my computer. I recommend it. I wouldn't normally mention this on the review but the seller was kind enough to call me to see if I liked the product. Five stars.,Positive
Product is decent and it does the job right. The cover cloth I received with this was absolutely trash through.Recommended.,Positive
kasam ma achammai  parey.yetiko price ma  yesto  ramro  product first time  pako  mailye.aru  store ma  outof stock xaw tai pani  price ekdam  high xaw but  yo price ma  delivery charge garera pani  sasto  ma  yesto  ramro iam speachless first when i  open it.mataw normal hola vanera sochyeko  thiye but amazing yar beyond the expectation  from daraz for the  first time.,Positive
I ordered it after reading a lot of positive reviews on Daraz (which is rare). I wasn't disappointed. compact yet sturdy laptop stand.,Positive
"Great product, sturdy and firm. Gets the job done, when at the steepest angle. Make sure to keep the legs flat on the surface to reduce/eliminate wobbling. I recommend using external mouse & keyboard when using a lepton with this. Lastly, done good words for the vendor who tried to give me personalised customer service. Thanks a lot!",Positive
Not worth the price. It has strength to support the laptop but it is not suitable for laptops larger than 15.6 inch because it is too narrow. Also one of the bars don't align properly in the holes :/ Absolutely not worth RS 1000. It would be a great product it if was around 300 rupees.,Neutral
"Doesn't wobble, sturdy and genuine product. One of the legs wobble a bit, but hasn't cause any problem yet. Maybe the problem was caused on the time of delivery.",Positive
Took expensive to the same product compared to other store herein daraz. Product Quality is good. Ordered twice from here and twice from the other seller.,Positive
This is an excellent product. Built material aluminum vayera ekdam daro xa. Mero 16 inch ko laptop mazale support garyo without any problem. Very much recommend at this price. Plus carrying case is a nice touch.,Positive
"Great product for the price range. Sturdy and has a good grip. I use it with an external keyboard and mouse, and this stand works well for it.",Positive
Great service. I had ordered the product on Friday 8th oct 2021 and goods got delivered today 10 oct 2021. 100% Satisfied with product.,Positive
It's a great product. Does what it is supposed to do and it's sturdy and holds my 15-inch laptop perfectly fine.,Positive
"Defective product, Laptop doesn't sit on rubber pad instead of on bolts so it's not stable to use when on the stand.",Negative
Its good and sturdy....except one leg is a bit loose than the other. Doesn't seem like a problem though,Positive
"Highly recommended. It helps to keep your laptop cool. Received the product exactly how it is shown. Very sturdy, I don't fear my laptop falling off.External keyboard & mouse would be suitable if you get this stand.Worth your money 👍",Positive
"I’m glad I came on this website, and not just because the product I wanted was less expensive here than it was elsewhere. From the moment of order through delivery, the service was excellent, and the communication was courteous and professional.",Negative
"I guess you get what you paid for. The product is okay and it is holding my 16inch macbook properly.One of the stand is very lose, so it's a bit hard to setup because of it. I don't think it'll give any issues if I don't move it too much, but will have to wait to find that out.",Positive
Product धेरै ramro chha ।sochejasto deliver vayo। fully satisfied about this product । Thank you daraz,Positive
It's worth the price. If you are looking for some simple stand nothing fancy then I highly recommend you to buy this.,Positive
Its worth it and very useful to elevate the laptop for good airflow and posture adjustment and fits my 17 inch laptop perfectly,Positive
"Working great, I use it for 17"" heavy laptop. I use separate wireless mouse and keyboard. Been using it for more than a week now. I don't take out the laptop much, if you do then will take a bit of time to adjust it.",Positive
The product is really good. One thing that I would expect it is to have a lock when expanded. But that is not much of a problem.,Positive
nice and sturdy build,Positive
it's better than expected,Positive
Last ko duita adkaune dulo ma Ali unstable hunxa So 3 star but considering the price .. Go For it,Positive
The package was well packed & this is an item which you think you might not need but you do 🤣🤣.,Positive
Nice quality sturdy design .Love it,Positive
It's good and working fine for me,Positive
Nice Product. Worth Buying.,Positive
works as promised. size mileko chha,Positive
was worth the money too good...,Positive
good quality nice material to👍,Positive
a very good product. easy and portable,Positive
I am totally satisfied with this  product. The built quality is excellent for this price range,Positive
It's good one. Seems durable,Positive
ramro cha tara Ali kati imbalance vayeko feel vayo with out laptop.but with laptop it's good,Positive
Thikai xa kinda hunxa,Neutral
"Nice, light and effective perfect comes with pouch ordered one more again thanks",Positive
Built quality is excellent 👍,Positive
"Very useful, a good product",Positive
seems flimsy after some use,Positive
More on the cheaper side might get some scratches on my laptop due to lack of Coushins.,Positive
Best for any laptops.,Positive
ramro xa product 10/10,Positive
Good quality product.,Positive
एकदमै राम्रो quality ko xa,Positive
"Don't get confused about its durability and built quality, absolutely solid and heavy.",Positive
nice and handy,Positive
Best one,Positive
loved it,Positive
it's in good quality but it's small for my laptop it is perfect for mid size laptops,Positive
Smaller than it looks on picture. A little flimsy as well but for the price it's fine.,Neutral
Not a proper fit for my laptop(lenovo legion 5). But product is good. looks premium.,Neutral
Quit useful product. Quality looks good so far. But I got one of stand slight loose.,Positive
Material used ra build quality dubai ramro cha. Won't hurt buying it. Worth it cha.,Positive
it's good but not stable.,Neutral
Nice Genuine Product. It's made up aluminum and received the stand bag as well.,Positive
"As expected, original product. Recommended, Thank you for the delivery on time.",Positive
Very good,Positive
Great product 👌,Positive
Works fine,Positive
sturdy and nice.,Positive
Steady as a rock,Positive
NOIC,Positive
Its nice.,Positive
not as expected,Positive
excellent  item useful help ful. i recommend you all to buy in this price.,Positive
price anusar ramro cha. Worth it. I would definitely recommend to buy it😊,Positive
Reviewed already. Quality is good. expensive comparative to other store.,Positive
Excellent build quality. Very strong and quite sleek and compact design.,Positive
"stand works well for macbook 13 inch , well built and supports weight.",Positive
fastest delivery - got it the next day i ordered. the stand is sturdy.,Positive
Wow so strong and supop laptop stang.fully satisfied.Thank you daraz.,Positive
The stand is strong and capable of holding any laptop.Nice products,Positive
well just got the product and its missing a grip and its too Shakey,Neutral
It's good but one pin type of thing is looseBut overall its good,Positive
Very good quality and works perfectly even for 15 inches laptop.,Positive
"Later found the same product in less price , but product is good",Positive
This is a very good quality one! i'm loving it. Just go for it❤️,Positive
euta thau ma nut loose cha idk if its gonna cause problem later,Positive
The product quality is good and perfect for my 17 inch laptop.,Positive
The product is great and provides you with a professional feel.,Positive
Aalik alignment na mileko raixa… but price anusar kai saman xa,Positive
This is definitely a good thing to buy and the quality is good.,Positive
amazing product. worth the money. good material and quality.,Positive
"Impressive!tara ali ali hallido raixa, built nai testo ho ki",Positive
Preety good ig,Neutral
thikai xa darai xa.. kaam chalxa... yo price ma thikai xa..,Positive
Perfect for my legion 5 this can hold heavy laptops easily,Positive
"Sturdy built quality, and definitely aluminum as described.",Positive
Like i expected it to be. Good product. I would recommend.,Positive
Low quality product. Dui tin choti use garda nai bigriyo.,Negative
"best stand for laptop for that price , durable and strong",Positive
full satisfied with product quality and reasonable price,Positive
The frame seems to be sturdy and holding 16 in computer.,Positive
Stand is okay. But the pins are not secured well enough,Positive
amazing product. it is just as it should be.😇😇😇😇,Positive
Delivered in good condition. Product is also good.,Positive
The product is nice as expected and looks durable.,Positive
It fits perfectly for the 14inch laptop. Thankyou,Neutral
couldn't be more satisfied . such a nice product,Positive
Minimalist and perfect. Does its job perfectly.,Positive
"strong enough with Al material but adjust very loosely, So, can't place laptop anywhere.",Neutral
tetti strong ra stable ta hoina but still worksalik sasto wala liye ni hune raixa,Neutral
Had a bit of scratches but hardly noticeable,Positive
wasn't provided with the pouch as advertised,Negative
"Noice product, good build quality loving it",Positive
Very good product. Everyone should use this.,Positive
Better Quality then expected for the price.,Positive
I think this is beatar for regular usear 🤩,Positive
Very good product. Better than i expected.,Positive
One of the stands broke after 3 weeks of light usage :(,Negative
Just as shown in the pics.. It's alright.,Positive
"good one, but must check before delivery.",Positive
Its just as advertised and happy with it.,Positive
Nice product .. pulley could have better,Positive
